slug,row_type,order,series_name,start_location,end_location,delay,slice_thickness,plane,acquisition,fov,thickness_increment,kernel,ir_strength,notes
ct-abdomen-pelvis-with-contrast,acquisition,1,Portal Venous Phase,Diaphragm,Lesser trochanters,70 sec,0.625 mm,,,,,,,Standard portal venous timing
ct-abdomen-pelvis-with-contrast,acquisition,2,Renal Delay,1-2cm above kidneys,1-2cm below kidneys,300 sec,0.625 mm,,,,,,,Renal Delay series
ct-abdomen-pelvis-with-contrast,recon,1,,,,,,Axial,Portal venous,Abdomen,3 mm/3 mm,Standard,3,Primary diagnostic series
ct-abdomen-pelvis-with-contrast,recon,2,,,,,,Axial,Renal Delay,Abdomen,3 mm/3 mm,Standard,3,Renal Delay series
ct-abdomen-pelvis-with-contrast,recon,3,,,,,,Coronal,Portal venous,Full AP,3 mm/3 mm,Standard,3,Coronal reformats for overview
ct-abdomen-pelvis-with-contrast,recon,4,,,,,,Sagittal,Portal venous,Full AP,3 mm/3 mm,Standard,3,Sagittal reformats for bowel loops
ct-adrenal-mass-protocol,acquisition,1,Non-Contrast,Diaphragm,Kidneys,N/A,2.5 mm,,,,,,,Measure absolute HU in mass
ct-adrenal-mass-protocol,acquisition,2,Portal Venous,Diaphragm,Kidneys,70 sec,2.5 mm,,,,,,,Enhanced HU measurement
ct-adrenal-mass-protocol,acquisition,3,15 Minute Delay,Diaphragm,Kidneys,900 sec,2.5 mm,,,,,,,Delayed HU for washout calculation
ct-adrenal-mass-protocol,recon,1,,,,,,Axial,All phases,Adrenals,2.5 mm/2.5 mm,Standard,3,ROI measurements in mass
ct-adrenal-mass-protocol,recon,2,,,,,,Axial,All phases,Adrenals,2.5 mm/2.5 mm,Standard,3,Compare enhancement
ct-adrenal-mass-protocol,recon,3,,,,,,Coronal,Portal venous,Adrenals,3 mm/3 mm,Standard,3,Anatomic overview
ct-biphasic-pancreas,acquisition,1,Pancreatic Phase,Diaphragm,Iliac crests,40-45 sec or bolus track,1-1.25 mm,,,,,,,Thin slices for small lesions
ct-biphasic-pancreas,acquisition,2,Portal Venous,Diaphragm,Lesser Trochanter,70 sec,2.5 mm,,,,,,,Standard PV phase
ct-biphasic-pancreas,recon,1,,,,,,Axial,Pancreatic,Pancreas,1.5 mm/1.5 mm,Standard,3,Thin slice pancreas
ct-biphasic-pancreas,recon,2,,,,,,Axial,Portal venous,Abdomen,2.5 mm/2.5 mm,Standard,3,Liver and vessels
ct-biphasic-pancreas,recon,3,,,,,,Coronal,Both phases,Abdomen,2.5 mm/2.5 mm,Standard,3,Pancreatic and peripancreatic
ct-biphasic-pancreas,recon,4,,,,,,Curved MPR,Pancreatic,Pancreatic duct,1.5 mm,Standard,3,Duct evaluation
ct-chest-abdomen-pelvis-with-contrast,acquisition,1,Portal Venous Phase,Lung bases or diaphragm,Pubic symphysis,70 sec,0.625 mm,,,,,,,Single portal venous phase
ct-chest-abdomen-pelvis-with-contrast,acquisition,2,Renal Delay,1-2cm above kidneys,1-2cm below kidneys,300 sec,0.625 mm,,,,,,,Renal Delay series
ct-chest-abdomen-pelvis-with-contrast,recon,1,,,,,,Axial,Portal venous,CAP,2.5 mm/2.5 mm,Standard,3,Chest diagnostic
ct-chest-abdomen-pelvis-with-contrast,recon,2,,,,,,Axial,Renal Delay,Abdomen,2.5 mm/2.5 mm,Standard,3,Renal diagnostic
ct-chest-abdomen-pelvis-with-contrast,recon,3,,,,,,Coronal,Portal venous,Full CAP,3 mm/3 mm,Standard,3,Coronal overview
ct-cystogram,acquisition,1,Non-Contrast,Diaphragm,Pubic symphysis,70 sec,2.5 mm,,,,,,,Standard IV contrast
ct-cystogram,acquisition,2,Bladder Filling,N/A,N/A,90 sec,N/A,,,,,,,Fill via Foley - not scanned
ct-cystogram,acquisition,3,Cystogram,Iliac crests,Below bladder,100 sec,2 mm,,,,,,,Scan distended bladder
ct-cystogram,recon,1,,,,,,Axial,Non-Contrast,Pelvis,2 mm/2 mm,Standard,3,Pre-contrast
ct-cystogram,recon,2,,,,,,Axial,Cystogram,Pelvis,2 mm/2 mm,Standard,3,Distended bladder assessment
ct-cystogram,recon,3,,,,,,Coronal,Cystogram,Pelvis,2.5 mm/2.5 mm,Standard,3,Bladder overview
ct-cystogram,recon,4,,,,,,Sagittal,Cystogram,Pelvis,2.5 mm/2.5 mm,Standard,3,Bladder dome and base
ct-enterography,acquisition,1,Enteric Phase,Diaphragm,Pubic symphysis,45 sec,0.625 mm,,,,,,,Optimal small bowel enhancement
ct-enterography,acquisition,2,Renal Delay,1-2cm above kidneys,1-2cm below kidneys,300 sec,0.625 mm,,,,,,,Renal Delay series
ct-enterography,recon,1,,,,,,Axial,Enteric,Full AP,2.5 mm/2.5 mm,Standard,3,Primary diagnostic
ct-enterography,recon,2,,,,,,Coronal,Enteric,Full AP,3 mm/3 mm,Standard,3,Bowel loop assessment
ct-enterography,recon,3,,,,,,Sagittal,Enteric,Full AP,3 mm/3 mm,Standard,3,Mesenteric evaluation
ct-enterography,recon,4,,,,,,MIP,Enteric,Mesenteric vessels,5 mm slab,Vascular,3,Vascular assessment
ct-ivp-intravenous-pyelogram,acquisition,1,Non-Contrast (optional),Top kidneys,Pubic symphysis,N/A,2 mm,,,,,,,Optional stone detection
ct-ivp-intravenous-pyelogram,acquisition,2,Early Portal Venous,Top kidneys,Iliac crests,60 sec from 1st,2.5 mm,,,,,,,Nephrographic phase
ct-ivp-intravenous-pyelogram,acquisition,3,Excretory Phase,Top kidneys,Pubic symphysis,90-120 sec from 2nd,1.25 mm,,,,,,,Collecting system opacification
ct-ivp-intravenous-pyelogram,recon,1,,,,,,Axial,Non-contrast,KUB,2 mm/2 mm,Standard,3,Stone detection if done
ct-ivp-intravenous-pyelogram,recon,2,,,,,,Axial,Portal venous,Kidneys,2.5 mm/2.5 mm,Standard,3,Renal parenchyma
ct-ivp-intravenous-pyelogram,recon,3,,,,,,Axial,Excretory,Full urinary tract,2 mm/2 mm,Standard,3,Urothelial surfaces
ct-ivp-intravenous-pyelogram,recon,4,,,,,,Coronal,Excretory,Full urinary tract,2.5 mm/2.5 mm,Standard,3,MIP urogram
ct-kub-non-contrast,acquisition,1,Non-Contrast KUB,Top of kidneys,Pubic symphysis,N/A,1-2 mm,,,,,,,Low dose technique
ct-kub-non-contrast,recon,1,,,,,,Axial,Non-contrast,KUB,2.5 mm/2.5 mm,Standard,3,Stone detection
ct-kub-non-contrast,recon,2,,,,,,Axial,Non-contrast,KUB,2.5 mm/2.5 mm,Bone,N/A,Bone window for stones
ct-kub-non-contrast,recon,3,,,,,,Coronal,Non-contrast,KUB,3 mm/3 mm,Standard,3,Coronal stone overview
ct-kub-non-contrast,recon,4,,,,,,MIP,Non-contrast,Kidneys/ureters,5 mm slab,Standard,N/A,Stone localization
ct-renal-mass-protocol,acquisition,1,Non-Contrast,Top kidneys,Iliac crests,N/A,2.5 mm,,,,,,,Baseline - detect fat/calcium
ct-renal-mass-protocol,acquisition,2,Corticomedullary,Top kidneys,Iliac crests,20 sec,1.25 mm,,,,,,,Arterial/nephrographic
ct-renal-mass-protocol,acquisition,3,Nephrographic/IVP,Top kidneys,Pubic symphysis,90-120 sec from 2nd injection,1.25 mm,,,,,,,Delayed enhancement + collecting system
ct-renal-mass-protocol,recon,1,,,,,,Axial,Non-contrast,Kidneys,2.5 mm/2.5 mm,Standard,3,Characterize mass
ct-renal-mass-protocol,recon,2,,,,,,Axial,Corticomedullary,Kidneys,1.5 mm/1.5 mm,Standard,3,Vascular and cortical enhancement
ct-renal-mass-protocol,recon,3,,,,,,Axial,Nephrographic,Kidneys to pelvis,2 mm/2 mm,Standard,3,Mass enhancement + urinary opacification
ct-renal-mass-protocol,recon,4,,,,,,Coronal,All phases,Kidneys,2.5 mm/2.5 mm,Standard,3,Compare enhancement phases
ct-triple-phase-liver,acquisition,1,Non-Contrast,Diaphragm,Iliac crests,N/A,2.5 mm,,,,,,,Liver FOV
ct-triple-phase-liver,acquisition,2,Late Arterial,Diaphragm,Iliac crests,30-35 sec or bolus track,1.25 mm,,,,,,,Liver FOV - hypervascular lesions
ct-triple-phase-liver,acquisition,3,Portal Venous,Diaphragm,Pubic symphysis,70 sec,2.5 mm,,,,,,,Full AP FOV
ct-triple-phase-liver,acquisition,4,Delayed Phase,Diaphragm,Iliac crests,300 sec,2.5 mm,,,,,,,Liver FOV - washout assessment
ct-triple-phase-liver,recon,1,,,,,,Axial,All phases,Liver,2.5 mm/2.5 mm,Standard,3,Compare all phases
ct-triple-phase-liver,recon,2,,,,,,Axial,Portal venous,Full AP,2.5 mm/2.5 mm,Standard,3,Full abdomen pelvis PV
ct-triple-phase-liver,recon,3,,,,,,Coronal,All phases,Liver,3 mm/3 mm,Standard,3,Coronal comparison
ct-triple-phase-liver,recon,4,,,,,,Subtraction,Arterial - NC,Liver,2.5 mm,Standard,3,Enhance lesion conspicuity
calcium-score,acquisition,1,Calcium Score,Carina,Below heart,N/A,1.5 mm,,,,,,,Sequential axial gated acquisition
calcium-score,recon,1,,,,,,Axial,Calcium score,Heart,3 mm/3 mm,Standard,3,For Agatston score calculation
calcium-score,recon,2,,,,,,Axial,Calcium score,Chest,1.5 mm/1.5 mm,Lung,3,Lung FOV for Extracardiac findings
coronary-cta-post-cabg,acquisition,1,Calcium Score,Lung apices,Diaphragm,N/A,1.5 mm,,,,,,,Calcium score
coronary-cta-post-cabg,acquisition,2,Gated CTA,Lung apices,Diaphragm,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective gating - full chest FOV
coronary-cta-post-cabg,recon,1,,,,,,Axial,Calcium score,Chest,3 mm/3 mm,Standard,3,For Agatston score calculation
coronary-cta-post-cabg,recon,2,,,,,,Axial,Gated CTA,Full chest,0.6 mm/0.6 mm,Cardiac,3,Thin slice for grafts and native vessels
coronary-cta-post-cabg,recon,3,,,,,,Sagittal,Gated CTA,Chest,2 mm/2 mm,Standard,3,Extracardiac assessment
coronary-cta-post-cabg,recon,4,,,,,,3D VR,Gated CTA,Heart/grafts,0.5 mm source,Cardiac,3,MPRs by 3D lab
coronary-cta,acquisition,1,Calcium Score,Carina,Below heart,N/A,3 mm,,,,,,,Calcium score
coronary-cta,acquisition,2,Gated CTA,2cm above LAD,2cm below heart apex,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective gating
coronary-cta,recon,1,,,,,,Axial,Calcium score,Heart,3 mm/3 mm,Standard,3,For Agatston score calculation
coronary-cta,recon,2,,,,,,Axial,Calcium score,Chest,1.5 mm/1.5 mm,Lung,3,Lung FOV for Extracardiac findings
coronary-cta,recon,3,,,,,,Axial,Gated CTA,Heart,0.625 mm/0.625 mm,Cardiac,3,Native coronary assessment
coronary-cta,recon,4,,,,,,3D VR,Gated CTA,Heart,0.5 mm source,Cardiac,3,MPRs by 3D lab
endocarditiscardiac-mass,acquisition,1,Non-contrast,Top of heart,Below heart,N/A,3 mm,,,,,,,Flash Non-contrast
