protocol_name,last_updated,author,clinical_indications,patient_positioning,npo_status,premedication_notes,contrast_agent,contrast_volume,contrast_flow_rate,contrast_timing_method,contrast_roi_placement,contrast_trigger_hu,contrast_labs_notes,tech_notes,nursing_notes,radiologist_notes,gantt_contrast_volume,gantt_contrast_duration,gantt_saline_volume,gantt_saline_duration,gantt_scan_section,gantt_scan_phase,gantt_scan_style,gantt_scan_delay,gantt_scan_duration,safety_renal_function,safety_allergy_check,series_1_name,series_1_start,series_1_end,series_1_delay,series_1_thickness,series_1_notes,series_2_name,series_2_start,series_2_end,series_2_delay,series_2_thickness,series_2_notes,series_3_name,series_3_start,series_3_end,series_3_delay,series_3_thickness,series_3_notes,series_4_name,series_4_start,series_4_end,series_4_delay,series_4_thickness,series_4_notes,series_5_name,series_5_start,series_5_end,series_5_delay,series_5_thickness,series_5_notes,postproc_1_plane,postproc_1_acq,postproc_1_fov,postproc_1_thickness,postproc_1_kernel,postproc_1_ir,postproc_1_notes,postproc_2_plane,postproc_2_acq,postproc_2_fov,postproc_2_thickness,postproc_2_kernel,postproc_2_ir,postproc_2_notes,postproc_3_plane,postproc_3_acq,postproc_3_fov,postproc_3_thickness,postproc_3_kernel,postproc_3_ir,postproc_3_notes,postproc_4_plane,postproc_4_acq,postproc_4_fov,postproc_4_thickness,postproc_4_kernel,postproc_4_ir,postproc_4_notes,artifact_reduction_tip,category,kv,mas,rotation_time,pitch,additional_recons,
CT Pulmonary Embolism,2026-01-01,,Suspected pulmonary embolism | Acute dyspnea | Chest pain with elevated D-dimer,Supine feet-first with arms raised,NPO 2 hours recommended,None required,Isovue 370,100 mL,4-5 mL/s,Bolus Tracking,Main Pulmonary Artery,150 HU,Full dose if eGFR > 30. Reduce if eGFR 30-60,Caudocranial scan direction. Coach breath hold. ROI in main PA at level of bifurcation,20G or larger IV in antecubital preferred. Verify good flow before injection,Assess RV/LV ratio. Look for signs of right heart strain. Check for DVT in leg veins if imaged,100mL,25s,50mL,13s,Chest,Pulmonary arterial phase,crit,0:20,12s,Verify eGFR > 30,Check iodine allergy history and prior reactions,Scout/Topogram,Lung apices,Adrenal glands,N/A,N/A,AP and lateral,Pulmonary Angiogram,Lung apices,Adrenal glands,Bolus tracked,0.625 mm,Caudocranial direction from diaphragm to apices,,,,,,,,,,,,,,,,,,,Axial,Angiogram,Chest,1.25 mm/1.25 mm,Standard,3,Mediastinal window for PE assessment,Axial,Angiogram,Chest,2.5 mm/2.5 mm,Lung,3,Lung window for parenchymal assessment,Coronal,Angiogram,Chest,3 mm/3 mm,Standard,3,Overview of pulmonary vasculature,Sagittal,Angiogram,Chest,3 mm/3 mm,Standard,3,Optional for clinical correlation,Arms fully raised to reduce beam hardening,chest,100,Auto (reference 200),0.5,1.0-1.2,MIP reconstructions of pulmonary arteries,
CT Abdomen Pelvis with Contrast,2026-01-02,,Abdominal pain | Oncology staging | Infection source | Post-operative complications,Supine with arms raised,NPO 4 hours for solids,Oral contrast: 900 mL Readi-Cat 2 over 90 minutes. Last cup 30 min before scan,Omnipaque 350,125 mL,3 mL/s,Fixed delay,N/A,N/A,Full dose if eGFR > 30. Consider split bolus technique if eGFR 30-45,Ensure adequate oral contrast opacification. Scan from diaphragm through pubic symphysis. 70 second delay typical,18-20G IV required. Verify patent IV. May give rectal contrast for distal colon/rectal evaluation. Oral contrast 900mL given 2 hrs before,Systematic review of all solid organs. Check for free fluid/air. Assess bowel enhancement pattern,125mL,42s,50mL,17s,Abdomen/Pelvis,Portal venous phase,done,1:10,25s,Verify eGFR > 30,Check allergy history. Pre-medicate if prior reaction,Scout/Topogram,Diaphragm,Pubic symphysis,N/A,N/A,AP and lateral,Portal Venous Phase,Diaphragm,Pubic symphysis,70 sec,0.625 mm,Standard portal venous timing,,,,,,,,,,,,,,,,,,,Axial,Portal venous,Abdomen,3 mm/3 mm,Standard,3,Primary diagnostic series,Axial,Portal venous,Pelvis,3 mm/3 mm,Standard,3,Pelvis diagnostic series,Coronal,Portal venous,Full AP,3 mm/3 mm,Standard,3,Coronal reformats for overview,Sagittal,Portal venous,Full AP,3 mm/3 mm,Standard,3,Sagittal reformats for bowel loops,Arms raised completely. Remove all metal objects from scan range,abdomen,120,Auto (reference 200),0.5,1.0-1.375,Thin slice 1mm for 3D if mass identified,
Non-Contrast CT Head,2026-01-03,,Acute stroke protocol | Head trauma | Headache - worst of life | Altered mental status,Supine head-first,None,None,None,None,None,None,N/A,N/A,No contrast required,Minimize patient motion. Gantry angle parallel to skull base to reduce orbital dose. Ensure head straight,No IV required. Explain importance of staying still,Look for hyperdense MCA sign. Assess grey-white differentiation. Check for hemorrhage and mass effect,N/A,N/A,N/A,N/A,Head,Non-contrast scan,done,0:00,10s,N/A,N/A,Scout/Topogram,Vertex,C1,N/A,N/A,Lateral scout,Non-Contrast Head,Vertex,Foramen magnum,N/A,5 mm,Angle parallel to hard palate,,,,,,,,,,,,,,,,,,,Axial,Non-contrast,Brain,5 mm/5 mm,Brain,3,Primary diagnostic - brain window,Axial,Non-contrast,Brain,5 mm/5 mm,Bone,N/A,Bone window for fractures,Coronal,Non-contrast,Brain,3 mm/3 mm,Brain,3,Optional - for skull base evaluation,Sagittal,Non-contrast,Brain,3 mm/3 mm,Brain,3,Optional - for midline structures,Remove dentures and hearing aids. Secure head in holder,neuro,120,Auto (reference 300),1,0.5,Thin slice 1.25mm if subtle fracture suspected,
CTA Head and Neck (Arch to Vertex),2026-01-04,,Stroke workup | Carotid stenosis | Vertebral artery dissection | Aneurysm screening,Supine head-first with arms at sides,NPO 2 hours,None typically. Consider anxiolytic if severe claustrophobia,Isovue 370,80-100 mL,4-5 mL/s,Bolus Tracking,Aortic arch,150 HU,Full dose if eGFR > 30,Scan from aortic arch through vertex. Use bolus tracking in arch. Minimize dental artifact with gantry angulation,Good antecubital IV access required - 20G minimum. Verify injection site for extravasation risk,Evaluate complete circle of Willis. Assess carotid bifurcations. Look for dissection. Check aneurysms,90mL,20s,40mL,10s,Head/Neck,Arterial phase,crit,0:22,25s,Verify eGFR > 30,Check allergy history and renal function,Scout/Topogram,Aortic arch,Vertex,N/A,N/A,AP and lateral,CTA Neck,Aortic arch,Skull base,Bolus tracked,0.625 mm,Arterial phase - caudocranial,CTA Head,Skull base,Vertex,Continues from neck,0.625 mm,Same bolus as neck - single acquisition,,,,,,,,,,,,,Axial,CTA,Neck,1 mm/1 mm,Vascular,3,Submillimeter for carotid assessment,Axial,CTA,Head,1 mm/1 mm,Vascular,3,Submillimeter for circle of Willis,Coronal,CTA,Neck,2 mm/2 mm,Vascular,3,MIP for carotid overview,Sagittal,CTA,Full,2 mm/2 mm,Vascular,3,MIP for vertebral arteries,Remove dentures. Minimize swallowing during neck acquisition,vascular,100-120,Auto (reference 250),0.5,0.9,MIP and 3D VR reconstructions of vessels. Curved MPR of carotids,
CTA for GI Bleed,2026-01-05,,Active GI bleeding | Hematemesis | Melena with hemodynamic instability | Hematochezia,Supine with arms raised,NPO if possible (emergent study),None,Isovue 370,125 mL,5 mL/s,Triple phase: Arterial + Portal Venous + Delayed,Abdominal aorta,150 HU,Can proceed with eGFR > 30 in emergency. Document medical necessity,High flow rate critical for arterial phase. Scan arterial at 25 sec then portal at 70 sec then delayed at 90-180 sec. Look for active extravasation,Large bore IV 18-20G essential. Must achieve 5 mL/s flow rate. Verify with saline test,Look for arterial extravasation (early) and pooling (delayed). Note location and potential source vessel,125mL,25s,50mL,10s,Abdomen/Pelvis,Arterial phase,crit,0:25,15s,eGFR > 30 preferred but can proceed emergently,Document allergy history. Emergency indication overrides mild allergy,Scout/Topogram,Diaphragm,Pubic symphysis,N/A,N/A,AP scout,Arterial Phase,Diaphragm,Pubic symphysis,25 sec,0.625 mm,High flow rate 5 mL/s critical,Portal Venous Phase,Diaphragm,Pubic symphysis,70 sec,0.625 mm,Standard portal venous timing,Delayed Phase,Diaphragm,Pubic symphysis,90-180 sec,0.625 mm,Extended delay to see pooling of contrast,,,,,,,Axial,Arterial,Full AP,2.5 mm/2.5 mm,Standard,3,Look for arterial blush/extravasation,Axial,Portal venous,Full AP,2.5 mm/2.5 mm,Standard,3,Confirm bleeding and assess organs,Axial,Delayed,Full AP,2.5 mm/2.5 mm,Standard,3,Look for contrast pooling in bowel,Coronal,All phases,Full AP,3 mm/3 mm,Standard,3,MIP to track extravasation,Arms raised to avoid artifacts. Fast table speed to cover area quickly in arterial phase,vascular,100-120,Auto (reference 300),0.5,1.375,MIP of all three phases side-by-side for comparison,
CTA Chest Abdomen Pelvis,2024-01-15,Dr. Smith,Aortic dissection | Aortic aneurysm | Vasculitis | Trauma pan-scan,Supine with arms raised above head,NPO 2-4 hours,None,Isovue 370,125 mL,4 mL/s,Bolus Tracking,Descending thoracic aorta,150 HU,Full dose if eGFR > 30,Single acquisition from thoracic inlet to pubic symphysis. Caudocranial direction. Bolus track in descending aorta,20G IV minimum. Antecubital or proximal forearm preferred,Assess entire aorta for dissection/aneurysm. Measure aortic dimensions. Check branch vessels,125mL,31s,50mL,13s,Full Body,Arterial phase,crit,0:28,35s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Thoracic inlet,Pubic symphysis,N/A,N/A,AP and lateral,CTA Arterial,Thoracic inlet,Pubic symphysis,Bolus tracked,0.625 mm,Caudocranial from feet to head,,,,,,,,,,,,,,,,,,,Axial,Arterial,Chest,2 mm/2 mm,Vascular,3,Thoracic aorta evaluation,Axial,Arterial,Abdomen/Pelvis,2.5 mm/2.5 mm,Vascular,3,Abdominal aorta and branches,Coronal,Arterial,Full CAP,3 mm/3 mm,Vascular,3,MIP full aorta overview,Sagittal,Arterial,Full CAP,3 mm/3 mm,Vascular,3,Sagittal MIP and curved MPR of aorta,Arms completely raised. ECG monitoring if known dissection,vascular,100,Auto (reference 250),0.5,1.0-1.2,3D VR and curved MPR of entire aorta,
CTA Chest,2024-01-15,Dr. Johnson,Thoracic aortic aneurysm | Aortic dissection | Great vessel evaluation,Supine with arms raised,NPO 2 hours,None,Isovue 370,100 mL,4 mL/s,Bolus Tracking,Ascending aorta or main PA,150 HU,Full dose if eGFR > 30,Choose ROI based on indication - ascending aorta for aortic pathology or main PA for PE,20G IV minimum,Assess aorta and great vessels. Measure aneurysm if present. Look for dissection flap,100mL,25s,50mL,13s,Chest,Arterial phase,crit,0:25,15s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Lung apices,Adrenal glands,N/A,N/A,AP and lateral,CTA Arterial Chest,Lung apices,Adrenal glands,Bolus tracked,0.625 mm,Caudocranial direction,,,,,,,,,,,,,,,,,,,Axial,Arterial,Chest,1.25 mm/1.25 mm,Vascular,3,Primary diagnostic series,Axial,Arterial,Chest,2.5 mm/2.5 mm,Lung,3,Lung window for parenchyma,Coronal,Arterial,Chest,2.5 mm/2.5 mm,Vascular,3,MIP coronal great vessels,Sagittal,Arterial,Chest,2.5 mm/2.5 mm,Vascular,3,MIP sagittal aortic arch,Arms fully raised,vascular,100,Auto (reference 200),0.5,1.0-1.2,3D VR of thoracic vasculature,
CTA Abdomen Pelvis,2024-01-15,Dr. Martinez,Abdominal aortic aneurysm | Mesenteric ischemia | Renal artery stenosis | Pre-EVAR planning,Supine with arms raised,NPO 4 hours,Oral contrast optional - omit for vascular indication,Isovue 370,125 mL,4 mL/s,Bolus Tracking,Abdominal aorta at celiac,150 HU,Full dose if eGFR > 30. Critical for renal artery assessment,Caudocranial scan direction. Include renal arteries to femoral bifurcation minimum,18-20G IV antecubital,Measure AAA if present. Assess renal and mesenteric arteries. Evaluate iliac vessels,125mL,31s,50mL,13s,Abdomen/Pelvis,Arterial phase,crit,0:30,25s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Diaphragm,Femoral heads,N/A,N/A,AP lateral,CTA Arterial,Diaphragm,Femoral heads,Bolus tracked,0.625 mm,Caudocranial direction,,,,,,,,,,,,,,,,,,,Axial,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Abdominal aorta and visceral branches,Axial,Arterial,Pelvis,2.5 mm/2.5 mm,Vascular,3,Iliac vessels,Coronal,Arterial,Full AP,3 mm/3 mm,Vascular,3,MIP coronal aorta and branches,Sagittal,Arterial,Full AP,3 mm/3 mm,Vascular,3,Curved MPR of aorta,Arms raised. No oral contrast for pure vascular study,vascular,100,Auto (reference 250),0.5,1.0-1.375,3D VR and curved MPR. Measure AAA in 3 planes,
CTA Mesenteric Ischemia,2024-01-15,Dr. Lee,Acute mesenteric ischemia | Chronic mesenteric ischemia | Bowel infarction,Supine with arms raised,NPO (emergent - as patient presents),None - emergent study,Isovue 370,125 mL,5 mL/s,Dual phase: Arterial + Portal Venous,Abdominal aorta at celiac,150 HU,Proceed if eGFR > 30. Emergency indication in acute setting,Arterial phase at 25 sec for vessel assessment. Portal venous at 70 sec for bowel perfusion. High flow rate critical,18G IV required for 5 mL/s flow. Must be patent,Arterial: assess celiac SMA IMA origins. Portal: look for bowel wall enhancement. Check for pneumatosis,125mL,25s,50mL,10s,Mesenteric,Arterial phase,crit,0:25,20s,eGFR > 30 preferred,Emergency study - document indication,Scout/Topogram,Diaphragm,Pubic symphysis,N/A,N/A,AP,Arterial Phase,Diaphragm,Iliac crests,25 sec,0.625 mm,Focus on celiac SMA IMA,Portal Venous,Diaphragm,Pubic symphysis,70 sec,0.625 mm,Assess bowel wall enhancement,,,,,,,,,,,,,Axial,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Mesenteric vessel origins,Axial,Portal venous,Full AP,2.5 mm/2.5 mm,Standard,3,Bowel wall assessment,Coronal,Arterial,Abdomen,2.5 mm/2.5 mm,Vascular,3,MIP of mesenteric vessels,Sagittal,Arterial,Abdomen,2.5 mm/2.5 mm,Vascular,3,Curved MPR SMA from origin,Fast scan. High flow rate essential,vascular,100,Auto (reference 300),0.5,1.375,MIP and 3D VR of celiac and SMA. Curved MPR of vessels,
CTA DIEP Flap Pre-operative,2024-01-15,Dr. Williams,Pre-operative planning for DIEP flap breast reconstruction,Supine with arms at sides or on chest,NPO 2-4 hours,None,Isovue 370,100 mL,4 mL/s,Bolus Tracking,Abdominal aorta,150 HU,Full dose if eGFR > 30,Scan from xiphoid to pubic symphysis. Focus on anterior abdominal wall perforators. Arterial phase critical,18-20G IV,Map perforator locations. Measure vessel caliber. Identify dominant perforators. Note relationship to rectus,100mL,25s,50mL,13s,Abdomen,Arterial phase,crit,0:28,15s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Xiphoid,Pubic symphysis,N/A,N/A,AP,CTA Arterial,Xiphoid,Pubic symphysis,Bolus tracked,0.625 mm,Focus on abdominal wall,,,,,,,,,,,,,,,,,,,Axial,Arterial,Abdomen,1 mm/1 mm,Vascular,3,Thin slice for perforator mapping,Coronal,Arterial,Abdomen,1.5 mm/1.5 mm,Vascular,3,MIP to show perforator course,Sagittal,Arterial,Abdomen,2 mm/2 mm,Vascular,3,Lateral views of perforators,3D VR,Arterial,Anterior abd wall,1 mm source,Vascular,3,3D reconstruction for surgical planning,Arms positioned to not obscure anterior abdominal wall,vascular,100,Auto (reference 200),0.5,0.9,3D VR color-coded perforator map. Measure distances from umbilicus,
